id,home_id,away_id,fecha
1,9,2,1
2,6,1,1
3,5,10,1
4,8,4,1
5,7,3,1
6,10,6,2
7,4,5,2
8,1,7,2
9,3,9,2
10,2,8,2
11,5,9,3
12,6,3,3
13,2,4,3
14,7,10,3
15,8,1,3
16,10,8,4
17,9,7,4
18,4,6,4
19,1,2,4
20,3,5,4
21,5,2,5
22,6,8,5
23,3,1,5
24,4,7,5
25,9,10,5
26,10,3,6
27,8,9,6
28,1,4,6
29,2,6,6
30,7,5,6
31,4,10,7
32,8,7,7
33,2,3,7
34,6,5,7
35,1,9,7
36,10,2,8
37,9,4,8
38,5,1,8
39,3,8,8
40,7,6,8
